Pop,Theta,samplingSize,n.seg.sites
2,ten,64,48
2,ten,64,41
2,ten,64,41
2,ten,64,43
2,ten,64,41
2,ten,64,41
2,ten,64,42
2,ten,64,45
2,ten,64,41
2,ten,64,44
2,ten,64,42
2,ten,64,37
2,ten,64,40
2,ten,64,44
2,ten,64,46
2,ten,64,44
2,ten,64,41
2,ten,64,43
2,ten,64,40
2,ten,64,44
2,ten,64,40
2,ten,64,41
2,ten,64,46
2,ten,64,46
2,ten,64,43
2,ten,64,45
2,ten,64,43
2,ten,64,39
2,ten,64,49
2,ten,64,43
2,ten,64,41
2,ten,64,40
2,ten,64,45
2,ten,64,45
2,ten,64,46
2,ten,64,43
2,ten,64,46
2,ten,64,43
2,ten,64,41
2,ten,64,45
2,ten,64,41
2,ten,64,46
2,ten,64,45
2,ten,64,42
2,ten,64,40
2,ten,64,46
2,ten,64,44
2,ten,64,38
2,ten,64,44
2,ten,64,47
2,ten,64,46
2,ten,64,40
2,ten,64,46
2,ten,64,43
2,ten,64,42
2,ten,64,42
2,ten,64,44
2,ten,64,40
2,ten,64,41
2,ten,64,43
2,ten,64,40
2,ten,64,46
2,ten,64,44
2,ten,64,47
2,ten,64,43
2,ten,64,39
2,ten,64,39
2,ten,64,43
2,ten,64,42
2,ten,64,41
2,ten,64,44
2,ten,64,40
2,ten,64,43
2,ten,64,46
2,ten,64,45
2,ten,64,45
2,ten,64,39
2,ten,64,41
2,ten,64,41
2,ten,64,40
2,ten,64,39
2,ten,128,43
2,ten,128,55
2,ten,128,53
2,ten,128,47
2,ten,128,47
2,ten,128,53
2,ten,128,52
2,ten,128,50
2,ten,128,51
2,ten,128,48
2,ten,128,50
2,ten,128,52
2,ten,128,52
2,ten,128,49
2,ten,128,46
2,ten,128,49
2,ten,128,53
2,ten,128,52
2,ten,128,50
2,ten,128,53
2,ten,128,53
2,ten,128,48
2,ten,128,52
2,ten,128,51
2,ten,128,51
2,ten,128,49
2,ten,128,47
2,ten,128,53
2,ten,128,50
2,ten,128,53
2,ten,128,51
2,ten,128,51
2,ten,128,47
2,ten,128,48
2,ten,128,51
2,ten,128,50
2,ten,128,52
2,ten,128,50
2,ten,128,52
2,ten,128,49
2,ten,128,50
2,ten,128,47
2,ten,128,47
2,ten,128,49
2,ten,128,50
2,ten,128,48
2,ten,128,51
2,ten,128,49
2,ten,128,50
2,ten,128,50
2,ten,128,50
2,ten,128,46
2,ten,128,49
2,ten,128,46
2,ten,128,46
2,ten,128,50
2,ten,128,44
2,ten,128,49
2,ten,128,49
2,ten,128,47
2,ten,128,47
2,ten,128,46
